kind,scenario,nb_cars,world_seed,metric,metric_label,goal,unit,step,component,from_method,to_method,value_from,value_to,delta,delta_pct,improvement
ladder,pessimistic,150,3,nb_reservations,Confirmed reservations,up,,3,Cross-station adaptation,multistation_rep,bramev,449.0,453.0,4.0,0.8909,True
ladder,pessimistic,150,3,mean_occupancy_rate,Occupancy rate,up,%,3,Cross-station adaptation,multistation_rep,bramev,0.7921,0.7966,0.0045,0.5681,True
ladder,pessimistic,150,3,mean_service_rate,Service rate,up,%,3,Cross-station adaptation,multistation_rep,bramev,0.3379,0.3294,-0.0085,-2.5155,False
ladder,pessimistic,150,3,slot_waste_rate,Wasted reserved slots,down,%,3,Cross-station adaptation,multistation_rep,bramev,0.5766,0.5892,0.0126,2.1852,False
ladder,pessimistic,150,3,no_offer_rate,Demands with no offer,down,%,3,Cross-station adaptation,multistation_rep,bramev,0.0175,0.03,0.0125,71.4286,False
ladder,pessimistic,150,3,abandon_rate,Abandoned searches,down,%,3,Cross-station adaptation,multistation_rep,bramev,0.0153,0.0236,0.0083,54.2484,False
ladder,pessimistic,150,3,request_rejection_rate,Unserved demands,down,%,3,Cross-station adaptation,multistation_rep,bramev,0.0175,0.03,0.0125,71.4286,False
ladder,pessimistic,150,3,nb_station_level_rejections,Rejected demands,down,,3,Cross-station adaptation,multistation_rep,bramev,384.0,500.0,116.0,30.2083,False
ladder,pessimistic,150,3,station_rejection_rate,Station rejection rate,down,%,3,Cross-station adaptation,multistation_rep,bramev,0.3163,0.3799,0.0636,20.1075,False
ladder,pessimistic,150,3,total_ms_mean,End-to-end latency,down,ms,3,Cross-station adaptation,multistation_rep,bramev,243.849,239.85,-3.999,-1.6399,True
ladder,pessimistic,150,3,wall_time_s,Wall time,down,s,3,Cross-station adaptation,multistation_rep,bramev,28.887,28.115,-0.772,-2.6725,True
baseline,pessimistic,150,1,exact_satisfaction,Exact satisfaction,up,%,0,Nearest Available,nearest_available,bramev,0.7055,0.8107,0.1052,14.9114,True
baseline,pessimistic,150,1,needs_satisfaction,Needs satisfied,up,%,0,Nearest Available,nearest_available,bramev,0.7203,0.8211,0.1008,13.9942,True
baseline,pessimistic,150,1,confirm_rate,Confirmation rate,up,%,0,Nearest Available,nearest_available,bramev,0.9751,0.9838,0.0087,0.8922,True
baseline,pessimistic,150,1,mean_waiting_time_min,Mean waiting time,down,min,0,Nearest Available,nearest_available,bramev,38.28,13.434,-24.846,-64.906,True
baseline,pessimistic,150,1,mean_travel_distance_km,Mean distance,down,km,0,Nearest Available,nearest_available,bramev,0.8082,0.8265,0.0183,2.2643,False
baseline,pessimistic,150,1,rate_pres,Show-up rate,up,%,0,Nearest Available,nearest_available,bramev,0.4222,0.4198,-0.0024,-0.5685,False
baseline,pessimistic,150,1,rate_abs,No-show rate,down,%,0,Nearest Available,nearest_available,bramev,0.1983,0.2005,0.0022,1.1094,False
baseline,pessimistic,150,1,nb_no_show,No-shows,down,,0,Nearest Available,nearest_available,bramev,93.0,85.0,-8.0,-8.6022,True
baseline,pessimistic,150,1,nb_reservations,Confirmed reservations,up,,0,Nearest Available,nearest_available,bramev,469.0,424.0,-45.0,-9.5949,False
baseline,pessimistic,150,1,mean_occupancy_rate,Occupancy rate,up,%,0,Nearest Available,nearest_available,bramev,0.7547,0.8691,0.1144,15.1583,True
baseline,pessimistic,150,1,mean_service_rate,Service rate,up,%,0,Nearest Available,nearest_available,bramev,0.3106,0.3601,0.0495,15.9369,True
baseline,pessimistic,150,1,slot_waste_rate,Wasted reserved slots,down,%,0,Nearest Available,nearest_available,bramev,0.5881,0.5906,0.0025,0.4251,False
baseline,pessimistic,150,1,no_offer_rate,Demands with no offer,down,%,0,Nearest Available,nearest_available,bramev,0.0249,0.0162,-0.0087,-34.9398,True
baseline,pessimistic,150,1,abandon_rate,Abandoned searches,down,%,0,Nearest Available,nearest_available,bramev,0.0104,0.0093,-0.0011,-10.5769,True
baseline,pessimistic,150,1,request_rejection_rate,Unserved demands,down,%,0,Nearest Available,nearest_available,bramev,0.0249,0.0162,-0.0087,-34.9398,True
baseline,pessimistic,150,1,nb_station_level_rejections,Rejected demands,down,,0,Nearest Available,nearest_available,bramev,250.0,143.0,-107.0,-42.8,True
baseline,pessimistic,150,1,station_rejection_rate,Station rejection rate,down,%,0,Nearest Available,nearest_available,bramev,0.1625,0.1088,-0.0537,-33.0462,True
baseline,pessimistic,150,1,total_ms_mean,End-to-end latency,down,ms,0,Nearest Available,nearest_available,bramev,654.855,672.373,17.518,2.6751,False
baseline,pessimistic,150,1,wall_time_s,Wall time,down,s,0,Nearest Available,nearest_available,bramev,62.662,56.948,-5.714,-9.1188,True
baseline,pessimistic,150,1,exact_satisfaction,Exact satisfaction,up,%,0,Minimum Waiting Time,min_waiting,bramev,0.8328,0.8107,-0.0221,-2.6537,False
