kind,scenario,nb_cars,metric,metric_label,goal,unit,step,component,from_method,to_method,value_from,value_to,delta,delta_pct,improvement
variant,balance,200,mean_occupancy_rate,Taux d'occupation,up,%,0,Utilité multicritère,bramev,bramev_nearest_offer,0.2569,0.258,0.0011,0.4282,True
variant,balance,200,mean_service_rate,Taux de service,up,%,0,Utilité multicritère,bramev,bramev_nearest_offer,0.1441,0.1457,0.0016,1.1103,True
variant,balance,200,slot_waste_rate,Slots réservés perdus,down,%,0,Utilité multicritère,bramev,bramev_nearest_offer,0.4409,0.4367,-0.0042,-0.9526,True
variant,balance,200,nb_rejected_request,Demandes rejetées,down,,0,Utilité multicritère,bramev,bramev_nearest_offer,5072.0,4489.0,-583.0,-11.4945,True
variant,balance,200,total_ms_mean,Latence bout-en-bout,down,ms,0,Utilité multicritère,bramev,bramev_nearest_offer,17989.497,17839.421,-150.076,-0.8342,True
variant,balance,200,wall_time_s,Temps de calcul,down,s,0,Utilité multicritère,bramev,bramev_nearest_offer,1986.58,1983.366,-3.214,-0.1618,True
variant,balance,200,exact_satisfaction,Satisfaction exacte,up,%,0,Hétérogénéité des alpha,bramev,bramev_fixed_alpha,0.775,0.7733,-0.0017,-0.2194,False
variant,balance,200,needs_satisfaction,Besoins satisfaits,up,%,0,Hétérogénéité des alpha,bramev,bramev_fixed_alpha,0.7925,0.7905,-0.002,-0.2524,False
variant,balance,200,confirm_rate,Taux de confirmation,up,%,0,Hétérogénéité des alpha,bramev,bramev_fixed_alpha,0.8658,0.8434,-0.0224,-2.5872,False
variant,balance,200,mean_waiting_time_min,Attente moyenne,down,min,0,Hétérogénéité des alpha,bramev,bramev_fixed_alpha,1.314,1.296,-0.018,-1.3699,True
variant,balance,200,mean_travel_distance_km,Distance moyenne,down,km,0,Hétérogénéité des alpha,bramev,bramev_fixed_alpha,0.3816,0.3868,0.0052,1.3627,False
variant,balance,200,rate_pres,Taux de présentation,up,%,0,Hétérogénéité des alpha,bramev,bramev_fixed_alpha,0.5936,0.5926,-0.001,-0.1685,False
variant,balance,200,rate_abs,Taux de no-show,down,%,0,Hétérogénéité des alpha,bramev,bramev_fixed_alpha,0.1948,0.1953,0.0005,0.2567,False
variant,balance,200,nb_no_show,No-shows,down,,0,Hétérogénéité des alpha,bramev,bramev_fixed_alpha,382.0,385.0,3.0,0.7853,False
variant,balance,200,nb_reservations,Réservations confirmées,up,,0,Hétérogénéité des alpha,bramev,bramev_fixed_alpha,1961.0,1971.0,10.0,0.5099,True
variant,balance,200,mean_occupancy_rate,Taux d'occupation,up,%,0,Hétérogénéité des alpha,bramev,bramev_fixed_alpha,0.2569,0.2586,0.0017,0.6617,True
variant,balance,200,mean_service_rate,Taux de service,up,%,0,Hétérogénéité des alpha,bramev,bramev_fixed_alpha,0.1441,0.1445,0.0004,0.2776,True
variant,balance,200,slot_waste_rate,Slots réservés perdus,down,%,0,Hétérogénéité des alpha,bramev,bramev_fixed_alpha,0.4409,0.4406,-0.0003,-0.068,True
variant,balance,200,nb_rejected_request,Demandes rejetées,down,,0,Hétérogénéité des alpha,bramev,bramev_fixed_alpha,5072.0,5549.0,477.0,9.4046,False
variant,balance,200,total_ms_mean,Latence bout-en-bout,down,ms,0,Hétérogénéité des alpha,bramev,bramev_fixed_alpha,17989.497,17910.721,-78.776,-0.4379,True
variant,balance,200,wall_time_s,Temps de calcul,down,s,0,Hétérogénéité des alpha,bramev,bramev_fixed_alpha,1986.58,1991.483,4.903,0.2468,False
variant,balance,200,exact_satisfaction,Satisfaction exacte,up,%,0,Réputation par société,bramev,bramev_global_rep,0.775,0.5054,-0.2696,-34.7871,False
variant,balance,200,needs_satisfaction,Besoins satisfaits,up,%,0,Réputation par société,bramev,bramev_global_rep,0.7925,0.5174,-0.2751,-34.7129,False
variant,balance,200,confirm_rate,Taux de confirmation,up,%,0,Réputation par société,bramev,bramev_global_rep,0.8658,0.1027,-0.7631,-88.1381,False
variant,balance,200,mean_waiting_time_min,Attente moyenne,down,min,0,Réputation par société,bramev,bramev_global_rep,1.314,0.558,-0.756,-57.5342,True
variant,balance,200,mean_travel_distance_km,Distance moyenne,down,km,0,Réputation par société,bramev,bramev_global_rep,0.3816,0.2996,-0.082,-21.4885,True
variant,balance,200,rate_pres,Taux de présentation,up,%,0,Réputation par société,bramev,bramev_global_rep,0.5936,0.5949,0.0013,0.219,True
variant,balance,200,rate_abs,Taux de no-show,down,%,0,Réputation par société,bramev,bramev_global_rep,0.1948,0.2039,0.0091,4.6715,False
variant,balance,200,nb_no_show,No-shows,down,,0,Réputation par société,bramev,bramev_global_rep,382.0,230.0,-152.0,-39.7906,True
variant,balance,200,nb_reservations,Réservations confirmées,up,,0,Réputation par société,bramev,bramev_global_rep,1961.0,1128.0,-833.0,-42.4783,False
variant,balance,200,mean_occupancy_rate,Taux d'occupation,up,%,0,Réputation par société,bramev,bramev_global_rep,0.2569,0.1452,-0.1117,-43.48,False
variant,balance,200,mean_service_rate,Taux de service,up,%,0,Réputation par société,bramev,bramev_global_rep,0.1441,0.0813,-0.0628,-43.5808,False
variant,balance,200,slot_waste_rate,Slots réservés perdus,down,%,0,Réputation par société,bramev,bramev_global_rep,0.4409,0.4406,-0.0003,-0.068,True
variant,balance,200,nb_rejected_request,Demandes rejetées,down,,0,Réputation par société,bramev,bramev_global_rep,5072.0,56486.0,51414.0,1013.683,False
variant,balance,200,total_ms_mean,Latence bout-en-bout,down,ms,0,Réputation par société,bramev,bramev_global_rep,17989.497,31530.244,13540.747,75.2703,False
variant,balance,200,wall_time_s,Temps de calcul,down,s,0,Réputation par société,bramev,bramev_global_rep,1986.58,2359.551,372.971,18.7745,False
variant,balance,200,exact_satisfaction,Satisfaction exacte,up,%,0,Score proportionnel à la durée,bramev,bramev_event_score,0.775,0.7781,0.0031,0.4,True
variant,balance,200,needs_satisfaction,Besoins satisfaits,up,%,0,Score proportionnel à la durée,bramev,bramev_event_score,0.7925,0.7959,0.0034,0.429,True
variant,balance,200,confirm_rate,Taux de confirmation,up,%,0,Score proportionnel à la durée,bramev,bramev_event_score,0.8658,0.9915,0.1257,14.5184,True
variant,balance,200,mean_waiting_time_min,Attente moyenne,down,min,0,Score proportionnel à la durée,bramev,bramev_event_score,1.314,1.446,0.132,10.0457,False
variant,balance,200,mean_travel_distance_km,Distance moyenne,down,km,0,Score proportionnel à la durée,bramev,bramev_event_score,0.3816,0.3424,-0.0392,-10.2725,True
variant,balance,200,rate_pres,Taux de présentation,up,%,0,Score proportionnel à la durée,bramev,bramev_event_score,0.5936,0.5938,0.0002,0.0337,True
variant,balance,200,rate_abs,Taux de no-show,down,%,0,Score proportionnel à la durée,bramev,bramev_event_score,0.1948,0.1937,-0.0011,-0.5647,True
variant,balance,200,nb_no_show,No-shows,down,,0,Score proportionnel à la durée,bramev,bramev_event_score,382.0,382.0,0.0,0.0,False
variant,balance,200,nb_reservations,Réservations confirmées,up,,0,Score proportionnel à la durée,bramev,bramev_event_score,1961.0,1972.0,11.0,0.5609,True
variant,balance,200,mean_occupancy_rate,Taux d'occupation,up,%,0,Score proportionnel à la durée,bramev,bramev_event_score,0.2569,0.259,0.0021,0.8174,True
variant,balance,200,mean_service_rate,Taux de service,up,%,0,Score proportionnel à la durée,bramev,bramev_event_score,0.1441,0.1449,0.0008,0.5552,True
variant,balance,200,slot_waste_rate,Slots réservés perdus,down,%,0,Score proportionnel à la durée,bramev,bramev_event_score,0.4409,0.4411,0.0002,0.0454,False
